,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,look_back_0_open,look_back_0_close,look_back_0_high,look_back_0_low,look_back_1_open,look_back_1_close,look_back_1_high,look_back_1_low,look_back_2_open,look_back_2_close,look_back_2_high,look_back_2_low,look_back_3_open,look_back_3_close,look_back_3_high,look_back_3_low,look_back_4_open,look_back_4_close,look_back_4_high,look_back_4_low
3596,000001.SH,20070326,3122.811,3083.938,3123.179,3069.473,3074.286,48.525,1.5784,122660537.0,109828277.574,2.2369275695441977,2.3075051236042614,2.308173261898041,2.210665014056357,2.214904424154118,2.219403464077994,2.23944398170501,2.099334655262103,2.230870750663628,2.2138459333245697,2.2657610049885384,2.192342047586721,2.160963150490534,2.1887090456142935,2.1893081913668677,2.1225651701232797,2.1295225232259,2.1429833311337365,2.144481195515172,2.0823588589391644
3595,000001.SH,20070327,3138.826,3126.025,3145.044,3103.779,3122.811,16.015,0.5128,124578931.0,114054540.595,2.288202031794564,2.3112698641359377,2.3224749091713774,2.2481139919331303,2.21235984292249,2.282410295746976,2.2830734441183234,2.1862934266411074,2.1905011751386554,2.1949666144435476,2.214857461516752,2.07579452723163,2.206348258773531,2.1894505895394816,2.240977938806668,2.1681073033703355,2.1369627563540115,2.1645014341011315,2.165096105195003,2.0988515473712974
3594,000001.SH,20070328,3173.018,3140.68,3180.332,3052.078,3138.826,34.192,1.0893,167267939.0,151116615.356,2.288774175782748,2.346598127699398,2.3596763757146855,2.1303439145507923,2.262569400739811,2.285459016933918,2.2965774946696382,2.222791070776988,2.187313149137485,2.256822410157212,2.2574804352145845,2.161448115292648,2.165623355806142,2.170054296273996,2.1897914717720472,2.051802901996308,2.181348008943473,2.164580886761445,2.2157101489639524,2.1434024933388214
3593,000001.SH,20070329,3197.537,3179.803,3273.727,3176.526,3173.018,24.519,0.7727,149539661.0,140362614.712,2.3322581976086423,2.363720035771484,2.498888494642967,2.3264444813765666,2.262850196343003,2.3202209487118974,2.333196694980253,2.10566164413233,2.2368508031843004,2.2595610202995893,2.270592356134513,2.197384238857551,2.1621843780822645,2.231148855070205,2.2318017228069773,2.136522063374612,2.140664580128319,2.145060792768869,2.1646432766778263,2.0277362026377634
3592,000001.SH,20070330,3183.983,3178.496,3212.389,3157.03,3197.537,-13.554,-0.4239,89424006.0,82999416.777,2.3048633512885113,2.3145256135227785,2.3645467946830827,2.2670630740658444,2.307164896165527,2.3383933558816725,2.472559158620656,2.3013943050699024,2.238271751388558,2.2952169374887457,2.3080964319267676,2.082249196535173,2.21246521720901,2.2350069738812994,2.2459564811845016,2.1732914089962336,2.1383526546696268,2.206805565154894,2.2074535900322787,2.112880698551771
3591,000001.SH,20070402,3252.595,3196.587,3253.435,3196.587,3183.983,68.612,2.1549,97350446.0,93321540.6448,2.309621826527819,2.407445614859611,2.4089127620921262,2.309621826527819,2.278024016309449,2.2876076316247,2.337221660537585,2.240531418103296,2.2803068275390883,2.3112811001836393,2.444354847380455,2.2745832067284315,2.2119744451846977,2.2684561204288327,2.2812307809748034,2.0572218510236238,2.1863779657888545,2.2087362416500755,2.2195966243783833,2.1475230165810797
3590,000001.SH,20070403,3291.299,3265.676,3292.578,3251.523,3252.595,38.704,1.1899,108601391.0,107136258.679,2.4016256574379504,2.4460016308994823,2.4482167060295335,2.3771143530473227,2.2819717671642206,2.378970928918639,2.3804257085192986,2.2819717671642206,2.250640317455265,2.2601431456324272,2.309338942461381,2.2134637711365186,2.252903885238671,2.2836170536173466,2.4155690271580763,2.2472285129156235,2.185147525337976,2.2411530762023957,2.253820050010991,2.031699451317032
3589,000001.SH,20070404,3291.542,3295.976,3308.148,3266.559,3291.299,0.243,0.0074,112616107.0,113258217.174,2.4259809757524957,2.4183645859602936,2.4468891166074083,2.3754506783873164,2.3739339277814264,2.417947178941912,2.4201441483925716,2.3496229749783066,2.255258069785612,2.3514643754873816,2.3529072639459856,2.255258069785612,2.2241827184706087,2.233607872009132,2.28240155005092,2.1873100474558576,2.2264277842032216,2.2568899079233185,2.3877633265674025,2.220798801490311
3588,000001.SH,20070405,3319.14,3286.163,3326.916,3259.626,3291.542,27.598,0.8385,114528051.0,114495514.905,2.381030667539175,2.4372058712573366,2.450452024155188,2.3358257859226286,2.3977467810148196,2.3901936120398872,2.418481371173338,2.3476359168435135,2.346131756219953,2.3897796697618294,2.3919584029866687,2.322022599588873,2.2284409823568336,2.323848715317588,2.32527962689606,2.2284409823568336,2.1976235759685854,2.2069704948151014,2.2553591546937475,2.1610569712739784
3587,000001.SH,20070406,3323.585,3287.684,3334.224,3273.855,3319.14,4.445,0.1339,119644881.0,121981473.22,2.356292964923925,2.416953272470189,2.434929513020166,2.3329267246226157,2.3537229995252487,2.409442755575307,2.4225815135898405,2.308884622283523,2.3703035849672,2.362811654278357,2.390870066776986,2.3205990010534245,2.3191070356050147,2.3624010680904033,2.3645621369562195,2.2951933470531007,2.2023704547837606,2.2970046573143628,2.2984239675937106,2.2023704547837606
3586,000001.SH,20070409,3398.95,3333.422,3399.515,3333.262,3323.585,75.365,2.2676,137314104.0,139936999.342,2.403675740151956,2.5134125666380616,2.5143587470031674,2.4034077952698025,2.327080346277254,2.3872021538660353,2.4050188138737525,2.3039215351815945,2.324533195241279,2.3797583101086985,2.3927804313813756,2.280092861880551,2.340966589794877,2.333541167248188,2.36135049670473,2.2917032485553794,2.2902245277369926,2.333134225958417,2.3352761103601343,2.2665231282549723
3585,000001.SH,20070410,3444.291,3405.233,3444.374,3351.105,3398.95,45.341,1.334,147807284.0,152942402.328,2.4922585600944362,2.557064347754139,2.5572020629565486,2.4024483374910157,2.373108362500322,2.48183368519388,2.482771144101856,2.372842887411338,2.2972189898755215,2.3567866221857003,2.3744390563838564,2.2742736460907387,2.2946953173108633,2.3494113923698525,2.3623134816944944,2.2506646145834956,2.3109772363621373,2.303620257958657,2.331173253756625,2.2621679820330507
3584,000001.SH,20070411,3495.224,3454.417,3497.52,3428.782,3444.291,50.933,1.4788,147572114.0,156207584.313,2.54055085721123,2.607607149060555,2.611380061700201,2.4984260246688375,2.4597290212929526,2.523911260787424,2.524047650922045,2.370782934464216,2.34172526277133,2.449404452427578,2.450332891295784,2.3414623420298915,2.26656608232179,2.3255605669367476,2.343043152987792,2.24384151398831,2.264066692023487,2.3182563000886516,2.331034248122576,2.2204596438012336
3583,000001.SH,20070412,3531.029,3503.227,3532.862,3488.077,3495.224,35.805,1.0244,135389879.0,148368251.482,2.58647501285963,2.631713069826613,2.634695637930364,2.5618236725585803,2.507053764008524,2.573452922006211,2.57718886110398,2.4653417436377376,2.4270239606179733,2.490577231210608,2.490712284758131,2.3389495218182876,2.310176607590996,2.4168005697855306,2.4177199101993985,2.3099162634029984,2.2357539671494497,2.2941703214826505,2.3114815828333355,2.213252093550557
